key	en-US	pt-BR
::BK45_WE_AlternateFixedCamera	Alternate Fixed Camera	Alternar câmera fixa
::BK45_WE_CycleEditAxisLock	Axis lock mode	Modo de trava de eixo
::BK45_WE_EnablePicker	Enable WE Tool	Habilitar ferramenta do WE
::BK45_WE_MoveText	Move Text	Mover texto
::BK45_WE_NextText	Select next text	Selecionar próximo texto
::BK45_WE_PerspectiveXY	Front View	Visão frontal
::BK45_WE_PerspectiveXZ	Top view	Visão superior
::BK45_WE_PerspectiveZY	Right view	Visão lateral
::BK45_WE_PrecisionHigherNum	Increase change value	Aumentar passo de precisão
::BK45_WE_PrecisionLowerNum	Decrease change value	Reduzir passo de precisão
::BK45_WE_PreviousText	Select previous text	Selecionar texto anterior
::BK45_WE_RotateText	Rotate Text	Rotacionar texto
::BK45_WE_ToggleLockCameraRotation	Toggle lock fixed camera rotation	Alternar rotação travada da câmera fixa
::BkActionMoveDown	Move down	Mover abaixo
::BkActionMoveLeft	Move left	Mover para a esquerda
::BkActionMoveRight	Move right	Mover para a direita
::BkActionMoveUp	Move up	Mover acima
::BkActionRotateClockwise	Rotate clockwise	Rotacionar sentido horário
::BkActionRotateCounterClockwise	Rotate counter-clockwise	Rotacionar sentido anti-horário
::LTempDisableRendering	Temporary disable rendering	Desligar temporariamente a renderização
::DTempDisableRendering	Temporary disable rendering all WE instances. Use it to get some boost on FPS without losing WE data.	Desliga temporariamente a renderização dos itens do WE. Útil para ganhar algum FPS sem perder os dados salvos do WE.
::LRequiredLodForFormulaesUpdate	Required Level Of Detail for formulaes updates	Nível de detalhe requerido para atualizar fórmulas
::DRequiredLodForFormulaesUpdate	"Higher the number, nearer to the camera the text layout must be to have their formulaes updated. Raise this setting to get more performance trading off by a smaller update area."	"Quanto maior o número, mais próximo da câmera o objeto precisa estar para que atualize suas fórmulas. Aumente esse número para obter mais desempenho ao custo de uma menor área de atualização."
::DActionMoveLeft	Move item to left by one precision value	Move o item para esquerda por um valor da precisão
::DActionMoveRight	Move item to right by one precision value	Move o item para direita por um valor da precisão
::DActionMoveUp	Move item to up by one precision value	Move o item para cima por um valor da precisão
::DActionNextText	"When an object is selected and have texts, selects the next one"	"Quando um objeto está selecionado e contém textos, seleciona o próximo texto"
::DActionPerspectiveXY	Move current editing text up/down and left/right; rotates toward front word mesh center	Move o texto em edição acima/abaixo e direita/esquerda; rotaciona o texto pelo centro da malha da palavra
::DActionPerspectiveXZ	Move curent editing text left/right and front/back; rotates toward word top center	Move o texto em edição direita/esquerda e frente/trás; rotaciona o texto atráves do centro superior da malha da palavra
::DActionPerspectiveZY	Move current editing text up/down and front/back; rotates toward word side mesh center	Move o texto em edição acima/abaixo e frente/trás; rotaciona o texto através do centro lateral da malha da palavra
::DActionPreviousText	"When an object is selected and have texts, selects the previous one"	"Quando um objeto está selecionado e contém textos, seleciona o texto anterior"
::DActionRotateClockwise	Rotate item clockwise by one precision value	Rotaciona o item no sentido horário por um valor da precisão
::DActionRotateCounterClockwise	Rotate item counter-clockwise by one precision value	Rotaciona o item no sentido anti-horário por um valor da precisão
::DAlternateFixedCamera	Toggle camera when editing text between the default game view and the fixed camera looking the current editing perspective.	"Enquanto editando textos, alterna a câmera entre a padrão do jogo e a visão fixa da perspectiva em edição"
::DEnableTool	Enables the Write Everywhere picker tool to edit texts in any prop in the city	Habilita a ferramenta do Write Everywhere para editar textos em qualquer prop na cidade
::DFontQuality	"Raise this value to increase quality of the characters from the font in the world view. A very high value may overload the texture usage from this mod, requiring a larger initial texture size to avoid text glitches and letters mismappings."	"Aumente esse valor para melhorar a qualidade dos caracteres das fontes usadas por esse mod. Um valor muito alto pode sobrecarregar o uso de texturas por esse mod, requerindo que a textura inicial seja maior para evitar erros gráficos nos textos e mapeamentos de caracteres."
::DFontsFolder	Add the fonts you want to use while in game at that folder	Adicione as fontes que deseja utilizar no jogo dentro desta pasta
::DFontsFolderRefresh	Apply changes made in the fonts folder	Aplicar as mudanças feitas na pasta de fonte
::DFramesCheckUpdate	The number of frames between each text change check. Raise this value if the mod is causing game slowdown	Quantidade de frames entre cada avaliação se o valor dos textos mudaram. Aumente esse valor caso caso o jogo estiver ficando lento.
::DLocaleDateFormat	Example of date formatting	Exemplo de formatação de data
::DLocaleFomatting	Input the ISO locale to be used when this mod formats a date or number	Indique qual o locale ISO que deve ser usado quando este mod formatar uma data ou um número
::DLocaleName	Display name of current locale	Nome de exibição do locale atual
::DLocaleNumberFormat	Example of number fomratting	Exemplo de formatação de número
::DMouseToolMove	"While editing a text, hold this mouse button and drag to move the text mesh around the XY axis currently selected at mod UI."	"Enquanto editando um texto, segure este botão do mouse e arraste para movê-lo pelos eixos XY atualmente selecionados na UI do mod."
::DMouseToolRotate	"While editing a text, hold this mouse button and drag left-right to rotate the text mesh."	"Enquanto editando um texto, segure este botão do mouse e arraste no eixo horizontal para rotacioná-lo."
::DSpritesFolder	"Add subfolders with images here to get them loaded ingame. The atlases can be used for several roles, like showing an special image every time a value changes. The value will be used to find an image with that name in the atlas.\n\nImage compatibility rules:\n- All images must be PNG\n- Their size must be lower or equal than 512x512\n- They may have an additional information file. The file must be named in pattern <[IMG_NAME_WITHOUT_EXT]_info.xml > and can have the information like example below: \n\<ImageInformation pixelsPerMeters=""100""\>\<Borders pxLeft=""0"" pxRight=""0"" pxTop=""0"" pxBottom=""0"" /\>\</ImageInformation\>"	"Adicione subpastas com imagens aqui para tê-las carregadas no jogo. Os atlas podem ser usados para diversas funções, como exibição de uma imagem determinada para quando um valor mudar. Esse valor será usado para buscar uma imagem com o nome correspondente no atlas.\n\nRegras de compatibilidade:\n- Todas as imagens devem ser no formato PNG\n- O tamanho delas não deve ultrapassar 512x512 em nenhuma dimensão\n- Elas podem ter um arquivo adicional com informações nomeado no padrão <[IMG_NAME_WITHOUT_EXT]_info.xml > que pode ter o formato abaixo: \n\<ImageInformation pixelsPerMeters=""100""\>\<Borders pxLeft=""0"" pxRight=""0"" pxTop=""0"" pxBottom=""0"" /\>\</ImageInformation\>"
::DSpritesRefresh	Reload all images from Write Everywhere modules installed and all local images.	Recarregar todas as imagens dos módulos do Write Everywhere instalados e todas as imagens locais.
::DModulesSublayoutsRefresh	Reload all subtemplates from Write Everywhere modules installed.	Recarregar todos os sublayouts dos módulos do Write Everywhere instalados.
::DSpritesFolderRefresh	Reload all images inside the sprites folder.	Recarregue todas as imagens na pasta delas.
